label	case	run	exit	expected	secs	nfind	found	found_any
qwen3coder-mlx	offbyone	1	4	4	7	1	1	1
qwen3coder-mlx	swallow	1	0	4	3	0	0	0
qwen3coder-mlx	boolean	1	3	4	4	1	0	1
qwen3coder-mlx	leak	1	4	4	4	1	1	1
qwen3coder-mlx	clean	1	0	0	2	0	0	0
qwen3coder-mlx	offbyone	2	3	4	3	1	0	1
qwen3coder-mlx	swallow	2	0	4	3	0	0	0
qwen3coder-mlx	boolean	2	3	4	4	1	0	1
qwen3coder-mlx	leak	2	4	4	3	1	1	1
qwen3coder-mlx	clean	2	0	0	2	0	0	0
qwen38-mlx	offbyone	1	4	4	160	1	1	1
qwen38-mlx	swallow	1	3	4	268	0	0	1
qwen38-mlx	boolean	1	4	4	111	1	1	1
qwen38-mlx	leak	1	4	4	159	1	1	1
qwen38-mlx	clean	1	3	0	108	0	0	0
qwen38-mlx	offbyone	2	4	4	112	1	1	1
qwen38-mlx	swallow	2	4	4	334	1	1	1
qwen38-mlx	boolean	2	4	4	83	1	1	1
qwen38-mlx	leak	2	4	4	482	2	1	1
qwen38-mlx	clean	2	0	0	136	0	0	0
devstral2-mlx	offbyone	1	4	4	29	1	1	1
devstral2-mlx	swallow	1	0	4	8	0	0	0
devstral2-mlx	boolean	1	3	4	29	1	0	1
devstral2-mlx	leak	1	3	4	27	1	0	1
devstral2-mlx	clean	1	0	0	25	0	0	0
devstral2-mlx	offbyone	2	4	4	38	1	1	1
devstral2-mlx	swallow	2	0	4	6	0	0	0
devstral2-mlx	boolean	2	3	4	27	0	0	1
devstral2-mlx	leak	2	3	4	34	2	0	1
devstral2-mlx	clean	2	0	0	38	0	0	0
